Species__,Time______,TFactor,St_Dev,,___spt,___est,N>0.00,N>0.98
S163      ,2000      ,   1.273,  0.634,      9,    9.0,    9.0,     41,      0
S164      ,2000      ,   0.638,  0.012,   4197, 4197.0, 4197.0,   5204,   2830
S165      ,2000      ,   1.#QO,  1.#QO,      1,    1.0,   -1.$,      0,      0
S166      ,2000      ,   0.205,  0.084,      7,    7.0,    7.0,     45,      0
S167      ,2000      ,   0.264,  0.026,    114,  114.0,  114.0,    444,     34
S168      ,2000      ,   0.344,  0.011,   1095, 1095.0, 1095.0,   3574,    324
S169      ,2000      ,   0.275,  0.022,    175,  175.0,  175.0,    948,     44
S17       ,2000      ,   0.335,  0.027,    169,  169.0,  169.0,   1105,      6
S170      ,2000      ,   0.357,  0.193,      4,    4.0,    4.0,     36,      0
S171      ,2000      ,   0.381,  0.013,   1060, 1060.0, 1060.0,   3364,    334
S172      ,2000      ,   0.656,  0.013,   4348, 4348.0, 4348.0,   5214,   2933
S173      ,2000      ,   0.282,  0.026,    127,  127.0,  127.0,    513,     26
S174      ,2000      ,   0.147,  0.039,     15,   15.0,   15.0,    150,      4
S175      ,2000      ,   0.730,  0.015,   4637, 4637.0, 4637.1,   5277,   3187
S176      ,2000      ,   0.550,  0.010,   4058, 4058.0, 4057.9,   5269,   2487
S177      ,2000      ,   0.520,  0.011,   3288, 3288.0, 3288.0,   4800,   1967
S178      ,2000      ,   0.627,  0.012,   4304, 4304.0, 4304.1,   5244,   2784
S179      ,2000      ,   0.183,  0.115,      3,    3.0,    3.0,     20,      0
S18       ,2000      ,   0.541,  0.010,   3993, 3993.0, 3993.0,   5271,   2526
S180      ,2000      ,   0.281,  0.049,     38,   38.0,   38.0,    168,      5
S181      ,2000      ,   0.286,  0.018,    265,  265.0,  265.0,   1678,     25
S182      ,2000      ,   1.386,  0.048,   5161, 5161.0, 5160.8,   5279,   3538
S183      ,2000      ,   0.277,  0.025,    138,  137.0,  137.0,    519,     33
S184      ,2000      ,   0.367,  0.012,   1030, 1030.0, 1030.0,   3132,    286
S185      ,2000      ,   0.372,  0.017,    561,  561.0,  561.0,   2319,     96
S186      ,2000      ,   0.347,  0.022,    277,  277.0,  277.0,   1711,     17
S187      ,2000      ,   0.316,  0.014,    577,  577.0,  577.0,   2156,    179
S188      ,2000      ,   0.272,  0.086,     11,   11.0,   11.0,    114,      0
S189      ,2000      ,   0.220,  0.038,     38,   38.0,   38.0,    158,     18
S19       ,2000      ,   0.233,  0.026,     84,   84.0,   84.0,    738,      6
S190      ,2000      ,   0.870,  0.019,   4887, 4887.0, 4887.0,   5279,   3390
S191      ,2000      ,   0.190,  0.090,      5,    5.0,    5.0,     48,      0
S192      ,2000      ,   0.314,  0.014,    550,  550.0,  550.0,   2830,     39
S193      ,2000      ,   0.267,  0.038,     56,   56.0,   56.0,    218,     13
S194      ,2000      ,   0.254,  0.020,    175,  175.0,  175.0,    812,     42
