"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
6277,326,101,0.782,2.85,35.53,0.88,98.9,130,4
6341,327,41,0.773,2.49,37.49,0.88,97.9,126.1,7
6342,328,122,0.776,2.4,38.8,0.88,99.1,126.1,7
6343,329,115,0.783,2.27,41.24,0.88,100.9,126.1,7
6344,330,100,0.792,2.13,42.5,0.88,102.8,125.7,7
6345,331,136,0.802,2.02,41.53,0.88,104.3,125.1,7
6346,332,120,0.81,1.95,38.51,0.88,104.4,123.8,6
6347,333,132,0.82,1.83,34.96,0.88,104.2,120.7,5
6348,334,117,0.833,1.65,34.43,0.88,104.3,117.4,5
6349,335,79,0.84,1.56,34.57,0.88,104.5,115.8,4
6350,336,93,0.846,1.51,36.67,0.88,104.8,115,4
6351,337,101,0.849,1.49,36.67,0.88,105.1,114.7,3
6352,338,135,0.85,1.48,36.65,0.88,105.2,114.6,3
6353,339,97,0.851,1.47,36.64,0.88,105.8,115,3
6354,340,118,0.851,1.46,36.7,0.88,107.1,116.2,3
6355,341,121,0.852,1.45,36.76,0.88,108.5,117.7,3
6356,342,92,0.847,1.51,36.83,0.88,109.1,119.5,3
6357,343,99,0.843,1.55,36.35,0.88,109.5,120.9,3
6358,344,113,0.841,1.56,36.3,0.88,110.4,122.2,4
6359,345,124,0.843,1.54,36.67,0.88,111.8,123.3,4
6360,346,105,0.842,1.53,37.04,0.88,112.8,124.5,4
6361,347,126,0.838,1.57,37.76,0.88,112.8,125.4,4
6362,348,110,0.828,1.73,37.45,0.88,110.9,126.3,5
6363,349,84,0.816,1.98,37.24,0.88,107.6,127.2,4
6364,350,82,0.805,2.32,37.09,0.88,103.7,127.7,4
6365,351,99,0.799,2.72,36.95,0.88,99.8,127.8,3
6366,352,111,0.802,2.99,37.88,0.88,97.4,126.7,4
6367,353,84,0.808,3.05,38.85,0.88,96,124.7,4
6368,354,121,0.811,2.96,40.04,0.88,95.3,122.6,5
6369,355,139,0.81,2.93,39.7,0.88,94.9,122,5
6370,356,93,0.805,2.98,39.33,0.88,95.6,123.9,5
6371,357,109,0.797,3.04,38.15,0.88,96.6,126.6,4
6372,358,77,0.791,3.03,38.38,0.88,97.7,128.8,4
6373,359,116,0.786,2.94,38.6,0.88,98.5,129.8,2
6374,360,137,0.784,2.89,38.38,0.88,99.1,130.4,3
6375,361,119,0.783,2.88,37.62,0.88,99.1,130.5,3
6376,362,67,0.782,2.85,36.98,0.88,99.3,130.5,3
6377,363,85,0.782,2.83,36.41,0.88,99.4,130.5,4
6378,364,105,0.782,2.8,36,0.88,99.6,130.5,4
6442,365,79,0.789,2.23,39.95,0.88,101,125.3,6
6443,366,84,0.798,2.09,41.59,0.88,103,125.1,6
6444,367,121,0.807,1.97,42.81,0.88,104.6,124.4,6
6445,368,147,0.813,1.91,41.4,0.88,105,123.4,6
6446,369,112,0.821,1.81,39.28,0.88,104.6,120.8,5
6447,370,126,0.834,1.61,36.52,0.88,104.9,117.3,5
6448,371,114,0.844,1.46,35.27,0.88,105.2,114.8,5
6449,372,107,0.847,1.44,34.8,0.88,104.9,113.8,5
6450,373,105,0.848,1.45,34.66,0.88,104.2,113.3,4
6451,374,107,0.846,1.51,36.33,0.88,103.2,113.1,3
6452,375,103,0.846,1.53,36.78,0.88,103,113.2,3
6453,376,119,0.847,1.52,36.92,0.88,103.6,113.7,3
6454,377,96,0.85,1.48,36.69,0.88,105.5,114.9,3
6455,378,100,0.853,1.46,36.42,0.88,107.7,116.8,3
6456,379,100,0.852,1.5,36.06,0.88,109.3,119.2,3
6457,380,91,0.848,1.54,35.46,0.88,110.2,121.2,2
6458,381,118,0.846,1.55,35.42,0.88,111.4,122.6,3
6459,382,114,0.847,1.51,35.17,0.88,112.8,123.6,3
6460,383,116,0.847,1.5,34.8,0.88,113.6,124.3,4
6461,384,126,0.844,1.53,35.81,0.88,113.2,124.6,4
6462,385,90,0.837,1.63,36.7,0.88,111.4,124.8,4
6463,386,100,0.83,1.77,37.4,0.88,108.6,124.2,4
6464,387,113,0.823,1.96,37.15,0.88,105.6,123.8,4
6465,388,97,0.816,2.23,37.06,0.88,102.7,124.3,3
6466,389,88,0.814,2.55,37.05,0.88,100.5,125.2,4
6467,390,51,0.814,2.8,37.56,0.88,98.5,124.8,4
6468,391,117,0.816,2.86,37.27,0.88,96.8,123,5
6469,392,120,0.818,2.8,37.67,0.88,96.6,121.9,5
6470,393,100,0.814,2.82,36.16,0.88,97,123.1,5
6471,394,121,0.805,2.89,36.23,0.88,98,126.1,5
6472,395,96,0.796,2.92,37.81,0.88,98.8,128.6,4
6473,396,133,0.788,2.88,38.81,0.88,99.4,130,2
6474,397,126,0.785,2.84,38.87,0.88,99.9,130.8,3
6475,398,90,0.783,2.84,38.06,0.88,99.8,130.9,3
6476,399,106,0.783,2.82,37.5,0.88,99.9,130.7,3
6477,400,89,0.782,2.79,36.59,0.88,99.8,130.6,4
6478,401,119,0.782,2.78,36.28,0.88,99.9,130.7,4
6542,402,140,0.802,2.08,40.87,0.88,102.6,124,6
6543,403,118,0.81,1.96,42.44,0.88,104.1,123.5,6
6544,404,81,0.817,1.88,42.36,0.88,104.9,122.6,5
6545,405,89,0.824,1.79,40.97,0.88,105,120.8,5
6546,406,121,0.832,1.65,40.15,0.88,104.9,118.1,5
6547,407,123,0.841,1.49,36.74,0.88,105.5,115.6,5
6548,408,126,0.846,1.42,35.69,0.88,105.5,114.2,5
6549,409,123,0.839,1.51,35.3,0.88,104,114.5,5
6550,410,115,0.834,1.62,34.8,0.88,102.3,114.6,5
6551,411,126,0.831,1.7,34.27,0.88,100.7,114.1,4
6552,412,113,0.834,1.71,36.19,0.88,100.6,113.9,3
6553,413,105,0.839,1.66,36.48,0.88,101.5,113.8,3
6554,414,114,0.847,1.57,35.59,0.88,103.7,114.5,3
6555,415,86,0.852,1.51,35.67,0.88,106.5,116.2,3
6556,416,100,0.853,1.5,35.69,0.88,108.6,118.2,3
6557,417,108,0.85,1.52,36.12,0.88,109.9,120.3,3
6558,418,125,0.848,1.54,36.29,0.88,110.8,121.8,3
6559,419,127,0.846,1.53,36.12,0.88,111.8,122.8,3
6560,420,104,0.845,1.54,35.57,0.88,112,123.3,4
