"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
6655,450,95,0.854,0.32,36.53,0.74,105.5,74.8,4
6656,451,78,0.855,0.29,36.17,0.74,107.4,74.5,4
6657,452,90,0.854,0.3,36.36,0.74,108.9,76,4
6658,453,121,0.851,0.32,36.74,0.74,109.7,77.6,4
6659,454,117,0.848,0.34,36.85,0.74,110.1,78.7,4
6660,455,115,0.845,0.35,36.73,0.74,110.3,79.8,4
6661,456,104,0.842,0.38,35.87,0.74,110,81,4
6662,457,122,0.84,0.4,35.19,0.74,109.6,81.9,3
6663,458,90,0.837,0.4,34.71,0.74,109,81.7,4
6664,459,87,0.832,0.41,34.71,0.74,107.9,81.3,4
6665,460,80,0.828,0.42,34.75,0.74,106.7,80.8,4
6666,461,102,0.826,0.43,34.89,0.74,105.2,79.9,5
6667,462,102,0.825,0.43,34.78,0.74,103.8,78.9,5
6668,463,110,0.827,0.42,34.33,0.74,102.8,77.8,4
6669,464,115,0.829,0.42,33.4,0.74,101.7,76.8,4
6670,465,124,0.826,0.44,34.04,0.74,100.7,77.2,4
6671,466,108,0.816,0.51,36.23,0.74,100.9,80.6,3
6672,467,104,0.805,0.58,38.39,0.74,101.3,84.1,2
6673,468,104,0.796,0.64,39.22,0.74,101.5,86.7,3
6674,469,112,0.79,0.68,38.81,0.74,101.6,88.5,3
6675,470,105,0.786,0.71,37.72,0.74,101.6,89.6,3
6676,471,86,0.784,0.72,36.55,0.74,101.4,89.9,3
6744,472,126,0.83,0.49,40.36,0.74,104.8,82.6,3
6745,473,100,0.836,0.48,40.18,0.74,105.3,82.8,4
6746,474,92,0.842,0.48,39.79,0.74,106.4,83.6,5
6747,475,106,0.845,0.48,36.85,0.74,106.8,84,5
6748,476,108,0.836,0.51,35.15,0.74,105.7,84.2,4
6749,477,120,0.827,0.52,33.58,0.74,104.3,83.8,4
6750,478,141,0.818,0.54,32.78,0.74,102.2,82.8,4
6751,479,135,0.819,0.52,33.01,0.74,101.4,81.1,3
6752,480,97,0.827,0.47,32.75,0.74,101.7,79.3,3
6753,481,114,0.841,0.4,33.32,0.74,102.8,77,3
6754,482,129,0.853,0.35,34.6,0.74,104.2,75.1,3
6755,483,130,0.86,0.3,35.53,0.74,105.5,73.5,3
6756,484,116,0.862,0.28,36.09,0.74,106.7,73.5,3
6757,485,117,0.861,0.29,36.18,0.74,107.9,74.9,3
6758,486,88,0.859,0.3,36.04,0.74,108.4,75.7,3
6759,487,106,0.853,0.32,35.89,0.74,108.3,76.5,4
6760,488,107,0.848,0.35,36.42,0.74,108.5,78.3,4
6761,489,116,0.843,0.38,36.84,0.74,108.5,80,3
6762,490,133,0.838,0.39,35.82,0.74,108,80.4,4
6763,491,102,0.833,0.41,34.65,0.74,107.1,80.4,4
6764,492,93,0.826,0.43,34.35,0.74,105.5,80.1,5
