Species__,Time______,TFactor,St_Dev,,___spt,___est,N>0.00,N>0.98
S169      ,1985      ,   0.707,  0.042,    562,  562.0,  562.0,    628,    399
S17       ,1985      ,   0.390,  0.030,    198,  198.0,  198.0,    558,     53
S170      ,1985      ,   0.371,  0.028,    199,  199.0,  199.0,    573,     33
S171      ,1985      ,   0.699,  0.608,      2,    2.0,    2.0,     14,      0
S172      ,1985      ,   0.417,  0.024,    376,  376.0,  376.0,    613,    183
S173      ,1985      ,   0.767,  0.048,    575,  575.0,  575.0,    628,    409
S174      ,1985      ,   0.376,  0.024,    295,  295.0,  295.0,    614,    104
S175      ,1985      ,   0.389,  0.027,    246,  246.0,  246.0,    560,     82
S176      ,1985      ,   0.624,  0.035,    543,  543.0,  543.0,    628,    370
S177      ,1985      ,   0.431,  0.032,    227,  227.0,  227.0,    518,     85
S178      ,1985      ,   0.350,  0.023,    282,  282.0,  282.0,    616,    107
