Location,Loc_no,No_spp,Phi_in,Alpha,Wgt_n2,Phi_out,Spnum_in,Spnum_out,Iter
6471      ,    394,    121,  0.880,  2.76,   4.57,  0.940,      98.2,     114.4,   11
6472      ,    395,     96,  0.851,  4.59,   4.57,  0.940,      95.3,     123.0,    6
6473      ,    396,    133,  0.837,  5.95,   4.57,  0.940,      98.7,     135.0,    4
6474      ,    397,    126,  0.885,  2.68,   4.57,  0.940,     121.0,     139.8,    6
6475      ,    398,     90,  0.840,  3.09,   4.57,  0.940,     117.3,     144.5,   60
6476      ,    399,    106,  0.814,  4.99,   4.49,  0.940,     101.2,     138.8,   12
6477      ,    400,     89,  0.859, 12.61,   3.55,  0.940,     101.4,     143.9,    6
6478      ,    401,    119,  0.844,  3.89,   4.18,  0.940,     110.3,     140.3,   16
6542      ,    402,    140,  0.761,  3.71,   4.63,  0.940,      92.9,     129.2,   96
6543      ,    403,    118,  0.871,  2.68,   3.54,  0.940,     109.1,     127.9,   10
6544      ,    404,     81,  0.859,  5.60,   4.05,  0.940,     106.9,     139.9,    4
6545      ,    405,     89,  0.902,  2.03,   4.54,  0.940,     129.4,     142.2,    9
6546      ,    406,    121,  0.899,  2.36,   4.54,  0.940,     127.1,     142.8,    8
6547      ,    407,    123,  0.907,  2.37,   4.68,  0.940,     121.3,     135.1,    3
6548      ,    408,    126,  0.886,  2.45,   4.68,  0.940,     115.6,     132.1,    8
6549      ,    409,    123,  0.856,  3.35,   4.68,  0.940,     101.4,     124.6,   30
6550      ,    410,    115,  0.885,  3.88,   4.68,  0.940,     101.2,     122.4,    5
6551      ,    411,    126,  0.897,  3.71,   4.68,  0.940,     106.0,     125.2,    4
6552      ,    412,    113,  0.891,  2.78,   4.68,  0.940,     113.0,     130.5,    8
6553      ,    413,    105,  0.901,  2.61,   4.68,  0.940,     107.6,     121.9,    3
6554      ,    414,    114,  0.915,  1.94,   4.68,  0.940,     110.1,     119.1,    3
6555      ,    415,     86,  0.913,  2.90,   4.68,  0.940,     104.4,     118.2,    4
6556      ,    416,    100,  0.915,  2.74,   4.68,  0.940,      98.2,     110.0,    5
6557      ,    417,    108,  0.909,  3.10,   4.68,  0.940,     100.0,     114.4,    4
6558      ,    418,    125,  0.912,  2.01,   4.68,  0.940,     108.3,     117.9,    3
6559      ,    419,    127,  0.938,  1.12,   4.68,  0.940,     117.0,     118.2,    4
6560      ,    420,    104,  0.921,  2.49,   4.70,  0.940,     115.0,     126.8,    5
6561      ,    421,     99,  0.905,  1.92,   4.57,  0.940,     117.2,     127.8,    8
6562      ,    422,    112,  0.873,  2.51,   4.57,  0.940,     109.4,     126.8,   55
6563      ,    423,     91,  0.856,  3.91,   4.57,  0.940,      94.5,     118.5,    6
6564      ,    424,    112,  0.862,  3.30,   4.57,  0.940,      97.1,     118.2,   20
6565      ,    425,     56,  0.886,  2.94,   4.57,  0.940,     100.8,     117.5,    7
6566      ,    426,     75,  0.859,  3.74,   4.57,  0.940,      93.7,     116.2,   10
6567      ,    427,    107,  0.811,  9.68,   4.57,  0.940,      84.3,     127.7,    5
6568      ,    428,     99,  0.788,  4.20,   4.57,  0.940,      96.4,     132.5,   60
6569      ,    429,    120,  0.901,  2.23,   4.57,  0.940,     120.4,     133.8,    5
6570      ,    430,    110,  0.866,  3.68,   4.57,  0.940,     110.1,     135.5,    7
6571      ,    431,    107,  0.875,  3.25,   4.57,  0.940,     105.2,     125.8,    9
6572      ,    432,    120,  0.856,  4.63,   4.57,  0.940,     104.4,     132.8,    4
6573      ,    433,    102,  0.868,  4.69,   4.57,  0.940,     112.5,     141.2,    4
6574      ,    434,    133,  0.876,  3.13,   4.57,  0.940,     126.2,     150.0,    8
6575      ,    435,    102,  0.862,  4.84,   4.49,  0.940,     114.5,     144.7,    3
6576      ,    436,     82,  0.829,  5.60,   3.37,  0.940,      91.3,     125.4,    5
6577      ,    437,     71,  0.826,  8.23,   4.27,  0.940,      88.3,     130.7,    8
6643      ,    438,     91,  0.836,  8.10,   4.32,  0.940,      97.2,     140.5,    5
6644      ,    439,     92,  0.867,  3.28,   3.35,  0.940,     115.6,     139.5,    7
6645      ,    440,    115,  0.847,  2.83,   4.05,  0.940,     116.2,     140.9,   83
6646      ,    441,    104,  0.882,  3.41,   4.54,  0.940,     112.0,     133.6,    3
6647      ,    442,    106,  0.912,  2.19,   4.54,  0.940,     122.4,     134.4,    4
6648      ,    443,    115,  0.912,  2.17,   4.54,  0.940,     120.1,     131.7,    4
6649      ,    444,    123,  0.909,  2.05,   4.68,  0.940,     117.2,     128.1,    5
6650      ,    445,    121,  0.909,  2.17,   4.68,  0.940,     114.9,     126.3,    2
6651      ,    446,    124,  0.914,  1.81,   4.68,  0.940,     114.1,     122.6,    5
6652      ,    447,     88,  0.908,  1.89,   4.68,  0.940,     113.4,     123.2,    8
6653      ,    448,     99,  0.915,  1.72,   4.68,  0.940,     110.8,     118.3,    5
6654      ,    449,    129,  0.894,  2.66,   4.68,  0.940,     103.4,     118.1,    5
6655      ,    450,     95,  0.902,  2.48,   4.68,  0.940,     100.2,     112.7,    2
6656      ,    451,     78,  0.894,  2.94,   4.68,  0.940,      96.4,     111.5,    3
6657      ,    452,     90,  0.895,  4.21,   4.68,  0.940,     103.7,     124.6,    4
6658      ,    453,    121,  0.906,  2.32,   4.68,  0.940,     116.0,     129.0,    3
6659      ,    454,    117,  0.933,  1.22,   4.68,  0.940,     119.5,     122.0,    2
